Ref,Qty,Value
"C1, C2, ",2,Ceramic Capacitor 10µF (SMD 1206)
"C3, C4, C5, C6, ",4,Ceramic Capacitor 100nF (SMD 0805)
"J3, ",1,RCA Connector (KobiConn 156-009x-E)
"J4, ",1,Audio Jack 3.5mm (CUI SJ1-3533NG)
"R1, R5, ",2,Resistor 330 ohm (SMD 0805)
"R2, R3, R4, ",3,Resistor 680 ohm (SMD 0805)
"R6, ",1,Resistor 2K2 ohm (SMD 0805)
"R7, ",1,Resistor 1K ohm (SMD 0805)
"R8, ",1,Resistor 3K3 ohm (SMD 0805)
"R9, R10, R11, ",3,Resistor 75 ohm (SMD 0805)
"U1, ",1,LM1117IMPX-3.3 (SMD SOT-223)
"U2, ",1,THS7316 (SMD SOIC-8 3.9x4.9mm P1.27mm)
